,support,itemsets
87,0.21875887255256726,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto'})"
88,0.21875887255256726,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
89,0.21875887255256726,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
90,0.1989864181516884,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'SENTIDO_Centro/Barro Preto'})"
91,0.1989864181516884,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
92,0.19898456245441942,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto'})"
93,0.1888042072368482,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ACIMA VELOCIDADE PERMITIDA_False', 'SENTIDO_Centro/Barro Preto'})"
94,0.1989864181516884,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
95,0.19898456245441942,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
96,0.19898456245441942,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto'})"
97,0.19898456245441942,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
98,0.1888042072368482,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ACIMA VELOCIDADE PERMITIDA_False', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
99,0.1888042072368482,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'SENTIDO_Centro/Barro Preto'})"
100,0.18880235153957925,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto', 'ACIMA VELOCIDADE PERMITIDA_False'})"
101,0.1888042072368482,"frozenset({'SENTIDO_Centro/Barro Preto', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
102,0.18880235153957925,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
103,0.18880235153957925,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
104,0.18880235153957925,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
105,0.11311402703008643,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_bin_2.0', 'VELOCIDADE DA VIA_bin_0.0'})"
106,0.1131084599382795,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'FAIXA_bin_2.0'})"
107,0.11308062447924495,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_bin_2.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
108,0.10349223669047526,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_2.0', 'SENTIDO_Centro/Barro Preto'})"
109,0.1131084599382795,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'FAIXA_bin_2.0', 'VELOCIDADE DA VIA_bin_0.0'})"
110,0.11308062447924495,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_bin_2.0', 'VELOCIDADE AFERIDA_bin_0.0', 'TAMANHO_bin_0.0'})"
111,0.11308062447924495,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_bin_2.0', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
112,0.11308062447924495,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'FAIXA_bin_2.0', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
113,0.10349223669047526,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'FAIXA_bin_2.0', 'SENTIDO_Centro/Barro Preto'})"
114,0.10349223669047526,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_2.0', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
115,0.1034829582041304,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_2.0', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto'})"
116,0.10349223669047526,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_bin_2.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
117,0.1034829582041304,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'FAIXA_bin_2.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0'})"
118,0.1034829582041304,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_bin_2.0', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE DA VIA_bin_0.0'})"
119,0.1034829582041304,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'FAIXA_bin_2.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
120,0.23147596593682093,"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
121,0.23147596593682093,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
122,0.23146854314774504,"frozenset({'TAMANHO_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
123,0.23143142920236565,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
124,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
125,0.1989864181516884,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
126,0.11311402703008643,"frozenset({'FAIXA_bin_2.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
127,0.23147596593682093,"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
128,0.23146854314774504,"frozenset({'TAMANHO_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
129,0.23146854314774504,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
130,0.23146854314774504,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
131,0.23143142920236565,"frozenset({'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
132,0.23143142920236565,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
133,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
134,0.23143142920236565,"frozenset({'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
135,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
136,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
137,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
138,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
139,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
140,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
141,0.21875887255256726,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
142,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
143,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
144,0.21875887255256726,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
145,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
146,0.21875887255256726,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE AFERIDA_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
147,0.21875887255256726,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
148,0.21877742952525697,"frozenset({'SENTIDO_Centro/Barro Preto', 'ACIMA VELOCIDADE PERMITIDA_False', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
149,0.21875887255256726,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
150,0.21875887255256726,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'TAMANHO_bin_0.0'})"
151,0.21875887255256726,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'VELOCIDADE DA VIA_bin_0.0'})"
152,0.21875887255256726,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
153,0.1989864181516884,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'TAMANHO_bin_0.0', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})"
