Pattern,#SUP:,#CONF:
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_350_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2429.0,0.9396518375241779
2_350_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2468.0,0.9246908954664669
"2_350_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_328_AUTOMÓVEL_MÉDIO_41-60",2438.0,0.9134507306107156
"2_350_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2427.0,0.9093293368302735
"2_350_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_MÉDIO_41-60",2424.0,0.9082053203446984
"2_350_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2433.0,0.9115773698014238
"2_350_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2427.0,0.9093293368302735
2_366_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2419.0,0.9225781845919145
1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 3_349_AUTOMÓVEL_MÉDIO_41-60,2441.0,0.944294003868472
3_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2439.0,0.9193366000753863
"3_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2417.0,0.9110441010177158
1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 4_349_AUTOMÓVEL_MÉDIO_41-60,2460.0,0.9516441005802708
4_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2453.0,0.9207957957957958
"4_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_328_AUTOMÓVEL_MÉDIO_41-60",2421.0,0.9087837837837838
"4_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2418.0,0.9076576576576577
"4_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2424.0,0.9099099099099099
1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2457.0,0.9289224952741021
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2427.0,0.9175803402646503
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_MÉDIO_41-60",2427.0,0.9175803402646503
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2436.0,0.9209829867674858
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2427.0,0.9175803402646503
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2422.0,0.9156899810964083
2_328_AUTOMÓVEL_MÉDIO_41-60 ==> 1_349_AUTOMÓVEL_PEQUENO_41-60,2451.0,0.9405218726016884
"2_328_AUTOMÓVEL_MÉDIO_41-60 ==> 1_349_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_MÉDIO_41-60",2427.0,0.9313123561013047
"2_328_AUTOMÓVEL_MÉDIO_41-60 ==> 1_349_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2435.0,0.9343821949347659
1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2525.0,0.9546313799621928
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_366_AUTOMÓVEL_MÉDIO_41-60",2438.0,0.9217391304347826
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_366_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2419.0,0.9145557655954631
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2499.0,0.9448015122873346
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60,4_370_AUTOMÓVEL_MÉDIO_0-40",2425.0,0.9168241965973535
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,4_370_AUTOMÓVEL_MÉDIO_0-40",2443.0,0.9236294896030246
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2510.0,0.9489603024574669
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60,2_366_AUTOMÓVEL_MÉDIO_41-60",2427.0,0.9175803402646503
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2486.0,0.9398865784499055
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60,4_370_AUTOMÓVEL_MÉDIO_0-40",2432.0,0.9194706994328923
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2483.0,0.9387523629489603
"1_349_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2462.0,0.9308128544423441
